"modifier_code","name","kana","category","valid_from","valid_to","change_type","raw_record"
"","１２型","１２ガタ","0","","27002120","0","IjAiLCJaIiwiODE1OCIsIiIsIiIsIjMiLCLvvJHvvJLlnosiLCIiLCI0Iiwi77yR77yS44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMjAiLCI2QktUIiwiQTgwMDAwMDAi"
"","・１２週","１２シュウ","0","","27001895","0","IjAiLCJaIiwiODA5MCIsIiIsIiIsIjQiLCLjg7vvvJHvvJLpgLEiLCIiLCI1Iiwi77yR77yS44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE4OTUiLCIzRDlLIiwiQTgwMDAwMDAi"
"","１２週","１２シュウ","0","","27000042","0","IjAiLCJaIiwiNzA4NCIsIiIsIiIsIjMiLCLvvJHvvJLpgLEiLCIiLCI1Iiwi77yR77yS44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNDIiLCI1MzMyIiwiQTcwMDAwMDAi"
"","１３型","１３ガタ","0","","27002121","0","IjAiLCJaIiwiODE1OSIsIiIsIiIsIjMiLCLvvJHvvJPlnosiLCIiLCI0Iiwi77yR77yT44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMjEiLCIyMURSIiwiQTgwMDAwMDAi"
"","１３週","１３シュウ","0","","27000043","0","IjAiLCJaIiwiNzA4NSIsIiIsIiIsIjMiLCLvvJHvvJPpgLEiLCIiLCI1Iiwi77yR77yT44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNDMiLCI1MzMzIiwiQTcwMDAwMDAi"
"","・１３週","１３シュウ","0","","27001896","0","IjAiLCJaIiwiODA5MSIsIiIsIiIsIjQiLCLjg7vvvJHvvJPpgLEiLCIiLCI1Iiwi77yR77yT44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE4OTYiLCIwMFVNIiwiQTgwMDAwMDAi"
"","１４型","１４ガタ","0","","27002122","0","IjAiLCJaIiwiODE2MCIsIiIsIiIsIjMiLCLvvJHvvJTlnosiLCIiLCI0Iiwi77yR77yU44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMjIiLCIyRThNIiwiQTgwMDAwMDAi"
"","・１４週","１４シュウ","0","","27001897","0","IjAiLCJaIiwiODA5MiIsIiIsIiIsIjQiLCLjg7vvvJHvvJTpgLEiLCIiLCI1Iiwi77yR77yU44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE4OTciLCIzSzg2IiwiQTgwMDAwMDAi"
"","１４週","１４シュウ","0","","27000044","0","IjAiLCJaIiwiNzA4NiIsIiIsIiIsIjMiLCLvvJHvvJTpgLEiLCIiLCI1Iiwi77yR77yU44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNDQiLCI1MzM0IiwiQTcwMDAwMDAi"
"","１５型","１５ガタ","0","","27002123","0","IjAiLCJaIiwiODE2MSIsIiIsIiIsIjMiLCLvvJHvvJXlnosiLCIiLCI0Iiwi77yR77yV44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMjMiLCI4VVBMIiwiQTgwMDAwMDAi"
